created_at,status_id,user_id,user_name,text,favourites,retweet,source
2021-09-17 11:48:55,1438832333637967881,DeccanHerald,Deccan Herald,"India administered over 2 crore #Covid19vaccine doses in a day, setting a record on PM #NarendraModi's birthday, ac… https://t.co/GCSii7ZPcQ",6,0,Hootsuite Inc.
2021-09-17 11:46:26,1438831707889692678,banthiasachin,Sachin Banthia 🇮🇳,"That's the tweet.

Record #vaccination in a day. Still good couple of hours to go. Can we make it 25 million in a d… https://t.co/wwDbfUFcwa",1,0,Twitter Web App
2021-09-17 11:46:02,1438831608988147717,uwizeyeblair,Proud Mufumbira ❤🇺🇬🇷🇼,RT @nabakka_vivian: After a whole night of premeditating the #COVID19Vaccine finally got my first dose. All I have so far are mild aches. P…,0,10,Twitter for Android
2021-09-17 11:45:26,1438831458781589515,JagranEnglish,Jagran English,Over 2 Crore doses of the #COVID19 vaccine have been administered to people in the country so far today… https://t.co/UywIdpTG1Q,2,0,TweetDeck
2021-09-17 11:44:35,1438831245346148355,ndtv,NDTV,"“Our goal is to administer 1 crore vaccines a day. We all know how important #COVID19Vaccine is for India, we've be… https://t.co/o14g2uSIUp",62,8,Twitter Media Studio - LiveCut
2021-09-17 11:44:26,1438831207593099269,MangoManchurian,🙎,"2,00,00,000 doses done today and counting. Just wow. 
#LargestVaccinationDrive
#IndiaFightsCorona 
#COVID19Vaccine https://t.co/GT8GtEuzA2",0,0,Twitter for Android
2021-09-17 11:43:04,1438830861881774087,VikasPa16764519,Vikas Pandey,RT @unnamed_boi: More than 2 crore vaccine administration done to the people of India on the occasion of Our Honourable Prime Minister Birt…,0,1,Twitter Web App
2021-09-17 11:41:40,1438830511682621440,unnamed_boi,unnamed,More than 2 crore vaccine administration done to the people of India on the occasion of Our Honourable Prime Minist… https://t.co/2gZhgFuh6o,0,1,Twitter for Android
2021-09-17 11:41:03,1438830354023002112,mousseman,mousseman,A possible side effect of the #covid19vaccine could be hysteria. https://t.co/XbKkKjDTe5,0,1,Twitter Web App
2021-09-17 11:40:59,1438830338902421512,apcerls,APCER Life Sciences,Are you aware of cell &amp; gene therapies that are under development to manage COVID-19 complications? To learn more r… https://t.co/640C9Seyc4,1,0,Twitter Web App
2021-09-17 11:34:18,1438828656613277700,angelam18602654,angela mcintosh,"RT @UnitedHealthPr2: 1⃣8⃣ Citizens Actions to Stop the #COVID19 Scam

ACTION N°18: demand the removal of ALL restrictions and the end of th…",0,2,Twitter for Android
2021-09-17 11:34:13,1438828634995929094,angelam18602654,angela mcintosh,"RT @UnitedHealthPr2: 1⃣8⃣ Citizens Actions to Stop the #COVID19 Scam

Give out leaflets to the police officers of your city

#SensitizeTheP…",0,2,Twitter for Android
2021-09-17 11:34:04,1438828597402378243,angelam18602654,angela mcintosh,"RT @UnitedHealthPr2: 1⃣8⃣ Citizens Actions to Stop the #COVID19 Scam

📽️ Send to the police of your city these videos of police officers wh…",0,2,Twitter for Android
2021-09-17 11:33:59,1438828575646535681,angelam18602654,angela mcintosh,"RT @UnitedHealthPr2: Contact the police via their social media (Twitter, Facebook, Instagram), explain why these measures are non scientifi…",0,1,Twitter for Android
2021-09-17 11:33:46,1438828524220174345,angelam18602654,angela mcintosh,RT @UnitedHealthPr2: ☎️📞 call the police of your city then explain why these measures are non scientific and illegal and why the police off…,0,2,Twitter for Android
2021-09-17 11:33:44,1438828512392142855,viralvideovlogs,#StayHome,"RT @UnitedHealthPr2: 1⃣8⃣ Citizens Actions to Stop the #COVID19 Scam

👮‍♂️👮‍♀️ Talk with the police officers of your city and explain why t…",0,3,Naattuvartha
2021-09-17 11:33:42,1438828506390138883,angelam18602654,angela mcintosh,"RT @UnitedHealthPr2: 1⃣8⃣ Citizens Actions to Stop the #COVID19 Scam

👮‍♂️👮‍♀️ Talk with the police officers of your city and explain why t…",0,3,Twitter for Android
2021-09-17 11:33:30,1438828453063692290,angelam18602654,angela mcintosh,"RT @UnitedHealthPr2: ACTION N°15: 🎙️ speak on radio 📻 and TV 📺

#StopTheScam
#CivilDisobedience
#COVID19Vaccine
#COVID19 https://t.co/n4g7g…",0,2,Twitter for Android
2021-09-17 11:33:25,1438828432276733956,angelam18602654,angela mcintosh,"RT @UnitedHealthPr2: ACTION N°14: film yourself and urge people to refuse these measures and to not obey #CivilDisobedience

➡️ For more in…",0,2,Twitter for Android
2021-09-17 11:33:16,1438828398424600581,angelam18602654,angela mcintosh,"RT @UnitedHealthPr2: 🇨🇦 An example from CANADA (to activate the subtitles in your language, watch from a computer 🖥️ or a laptop 💻): https:…",0,1,Twitter for Android
2021-09-17 11:33:04,1438828345609924612,angelam18602654,angela mcintosh,RT @UnitedHealthPr2: ACTION N°12: require that an international and independent investigation be conducted and that those responsible for t…,0,3,Twitter for Android
2021-09-17 11:32:52,1438828294682464261,TomVargheseJr,"Tom Varghese Jr. MD, MS, FACS 🇺🇸","RT @neerajaiims: @huntsmancancer senior leadership with the director @NeliMUlrich brainstorming over curing cancer at @CliffLodge Snowbird,…",0,12,Twitter for iPhone
2021-09-17 11:32:51,1438828293143289860,angelam18602654,angela mcintosh,"RT @UnitedHealthPr2: 1⃣8⃣ Citizens Actions to Stop the #COVID19 Scam

ACTION N°11: refuse the #COVID19Vaccine

➡️ For more information, wat…",0,5,Twitter for Android
2021-09-17 11:32:47,1438828276101881857,angelam18602654,angela mcintosh,"RT @UnitedHealthPr2: 🇨🇦 An example from CANADA:
https://t.co/LGCjMk67cE
(Thanks to @RebelNewsOnline)

#COVID19 
#RefuseTests 
#CivilDisobed…",0,3,Twitter for Android
2021-09-17 11:32:42,1438828255545593856,angelam18602654,angela mcintosh,"RT @UnitedHealthPr2: 🇳🇱 An example from NETHERLANDS:
https://t.co/C66LKAJ9dd
(Thanks to @france_soir and @BonsensOrg)

#COVID19 
#RefuseTes…",0,3,Twitter for Android
2021-09-17 11:32:01,1438828083033911300,angelam18602654,angela mcintosh,"RT @UnitedHealthPr2: ➡️ Follow these steps:
https://t.co/yJ1xlI3yFl

#StandUpAgainstTyranny 
#NoMoreMasks 
#MuzzlesNotMasks
#COVID19 
#COVI…",0,2,Twitter for Android
2021-09-17 11:30:38,1438827733329530881,ankoleroyalty,Pamella Nabaasa🌻🌙,RT @nabakka_vivian: After a whole night of premeditating the #COVID19Vaccine finally got my first dose. All I have so far are mild aches. P…,0,10,Twitter for iPhone
2021-09-17 11:25:22,1438826408537587714,Akashpaul000,Akash,"RT @HFWOdisha: Crossing another milestone in the fight against #COVID19, #Odisha has covered more than 2 Cr persons with 1st dose of #COVID…",0,10,Twitter for Android
2021-09-17 11:20:09,1438825097473757184,VaxToronto,Toronto Vaccination Updates,"Centennial College, Progress Campus in Scarborough [Toronto health unit]
159 1st dose spots added
First available d… https://t.co/3cdvikWONC",0,0,vaxtoronto
2021-09-17 11:17:52,1438824520312365057,NirodhaTW,MomOf4,….and he’s 17 in that photo! 😁 #COVID19Vaccine #antivaxxers https://t.co/SgG36YEctF,2,0,Twitter for iPhone
2021-09-17 11:11:24,1438822893316608003,LTouchinglives,Life Changing & Touching Lives,RT @CityTshwane: #COVID19Vaccine is safe. Go and get vaccinated and help to create herd immunity for Tshwane. https://t.co/IxeMmebq6r,0,1,Twitter for Android
2021-09-17 11:03:43,1438820961088798720,AshishKBarpanda,Ashish Kumar Barpanda 🇮🇳@Jai_Jagannath🙏🙏,"RT @HFWOdisha: Crossing another milestone in the fight against #COVID19, #Odisha has covered more than 2 Cr persons with 1st dose of #COVID…",0,10,Twitter for Android
2021-09-17 11:03:02,1438820787696414720,AureliaCotta,Aurelia Cotta,"If you call it a scandemic then you are an anti-vaxxer

And I am Provaccine so go crawl back under your log… https://t.co/YZw6PaMl4P",0,0,Twitter for iPhone
2021-09-17 11:02:40,1438820697694822403,Pradyum85334887,Pradyumna,"RT @HFWOdisha: Crossing another milestone in the fight against #COVID19, #Odisha has covered more than 2 Cr persons with 1st dose of #COVID…",0,10,Twitter for Android
2021-09-17 10:59:57,1438820010072236032,HFWOdisha,H & FW Dept Odisha,"Crossing another milestone in the fight against #COVID19, #Odisha has covered more than 2 Cr persons with 1st dose… https://t.co/5fXwKKE46j",123,10,Twitter for Android
2021-09-17 10:58:04,1438819536426446849,reallingo1,reallingo,"RT @THP_hospital: ""If there is something they could do to...spend more time with their loved ones, would you not try to do it?""

Read as TH…",0,4,Twitter for iPhone
2021-09-17 10:49:27,1438817370630467586,bizbahrain,bizbahrain,How to apply for #Vaccination Certificate approval for #citizens &amp; #residents vaccinated abroad ....… https://t.co/ldF6vFyEZ7,0,0,Twitter for Android
2021-09-17 10:40:13,1438815046075830277,a_sezzy,A Sezzy,RT @QMUL: ⏰We currently have drop in sessions available today at our Mile End vaccination centre. Head to the Temporary Building in Geograp…,0,21,Twitter for iPad
2021-09-17 10:29:20,1438812309074243585,gautam_debroy,Gautam Debroy,#India aims to administer 2-2.5 crore #COVID19Vaccine in a single day today #fightcovid #VaccinationDrive,0,0,Twitter for Android
2021-09-17 10:28:31,1438812102593032192,kmiba,mandy✊🏽🌹,"RT @ToxicLemon99: Social segregation designed to divide &amp; break up unity of the people.
All dictatorial regimes know they can strengthen th…",0,1,Twitter Web App
2021-09-17 10:26:39,1438811630536638467,abhishek_dhol,Abhishek Dhol,RT @QMUL: ⏰We currently have drop in sessions available today at our Mile End vaccination centre. Head to the Temporary Building in Geograp…,0,21,Twitter Web App
2021-09-17 10:26:26,1438811577126318088,anshumalini3,Aditi Tandon,RT @thetribunechd: #Covid19Vaccine: India administers record 1.48 crore #Covidvaccines by 3 pm on PM's birthday https://t.co/m5meZkg4XC @an…,0,2,Twitter for iPhone
2021-09-17 10:23:05,1438810735044272132,thetribunechd,The Tribune,#Covid19Vaccine: India administers record 1.48 crore #Covidvaccines by 3 pm on PM's birthday https://t.co/m5meZkg4XC @anshumalini3,3,2,Twitter Web App
2021-09-17 10:20:10,1438809998193315840,VaxDurham,Durham Vaccination Updates,"Audley Recreation Centre in Ajax [Durham health unit]
212 2nd dose spots added
First available date is 2021-09-17
B… https://t.co/1r67EA7ihF",0,0,Durham 
2021-09-17 10:18:18,1438809532243890186,QMUL_DC,Doctoral College,RT @QMUL: ⏰We currently have drop in sessions available today at our Mile End vaccination centre. Head to the Temporary Building in Geograp…,0,21,Twitter Web App
2021-09-17 10:17:36,1438809355919450117,Accollins256,Ac Collins,RT @nabakka_vivian: After a whole night of premeditating the #COVID19Vaccine finally got my first dose. All I have so far are mild aches. P…,0,10,Twitter for Android
